Plant/Fungus,Flower,Fruit,Evergreen,Spawning Habitat,Region(s),Special
Lupine,Spring - Summer,-,No,Temperate Savanna & Forest Margin Highlands,Americas,"Four Varieties: Broadleaf, Wild, Butter, and Red Garden"
Maidenhair Fern,-,-,No,Temperate Hardwood Forest,"Americas, Asia",Tiny little adiantums :)
Mallow,Spring - Autumn,-,No,Temperate to Tropical Wetlands,"Africa, Asia, Europe",
Marigold,Early Summer - Autumn,-,Yes,Subtropical Desert,Americas,
American Mistletoe,-,Autumn - Early Winter,Yes,Temperate & Subtropical Savanna & Forest,Americas,Epiphytic
Desert Mistletoe,-,Autumn - Early Winter,Yes,Temperate & Subtropical Desert,Americas,Epiphytic
Dwarf Mistletoe,-,-,Yes,Boreal & Temperate Savanna & Forest,All Regions,Epiphytic
European Mistletoe,-,Autumn - Early Winter,Yes,Temperate & Subtropical Savanna & Forest,"Asia, Europe",Epiphytic
Morel,-,-,-,Temperate Hardwood Forest,All Regions,Fungus
Narbon Vetch,Late Spring - Summer,-,No,Temperate & Subtropical Savanna & Forest Margin,"Asia, Europe",
Ocotillo,Early Spring - Early Summer,-,Yes,Subtropical Desert,Americas,Spikey
Organ Pipe Cactus,Late Spring - Early Summer,-,Yes,Tropical Desert,Americas,Spikey
Ostrich Fern,-,-,No,Boreal to Subtropical Wet Forest,"Americas, Asia, Europe",
Painted Fern,-,-,No,Temperate Wet Forest,Asia,
Pale Umbrella Orchid,Late Summer - Autumn,-,Yes,Tropical Rainforest,Africa,Epiphytic
Papyrus,-,-,Yes,Subtropical & Tropical Wetlands,Africa,Semi-Aquatic
Periwinkle,Early Summer - Late Autumn,-,No,Temperate Hardwood Forest & Rainforest,Europe,
Pokeweed,-,Late Summer - Early Autumn,No,Temperate Hardwood Forest,Americas,
Prairie Grass,-,-,No,Temperate & Subtropical Grassland & Savanna,All Regions,More common in arid grasslands
Prickly Pear,Late Spring,Early Autumn - Autumn,Yes,Subtropical Desert Highlands,Americas,Spikey
Purpureorachis Orhcid,Late Winter - Spring,-,Yes,Tropical Rainforest,"Africa, Asia",Epiphytic
Quaqua,Early Autumn - Early Winter,-,Yes,Subtropical & Tropical Desert,Africa,"Poisons player when broken by hand, Spikey"
Rafflesia,Spring - Late Spring,-,Yes,Tropical Rainforest,Asia,
Reishi,-,-,-,Temperate Hardwood Forest,Asia,Epiphytic (Fungus)
Rose Bush,Late Spring - Early Autumn,-,No,Boreal to Subtropical Forest Margin,All Regions,Spikey
Rough Horsetail,-,-,Yes,Boreal & Temperate Wetlands,"Americas, Asia, Europe",
Royal Jasmine,Summer - Autumn,-,Yes,Subtropical & Tropical Forest,Asia,
Sagebrush,-,-,Yes,Temperate & Subtropical Desert,Americas,
Saguaro,Late Spring - Early Summer,-,Yes,Subtropical & Tropical Desert Midlands,Americas,Spikey
Saxaul,-,-,Yes,Temperate to Tropical Desert,Asia,
Saltwort,-,-,Yes,Temperate to Tropical Desert (Africa) & Salt Swamp (other regions),"Africa (Desert), All Regions (Salt Swamp)","Spawns in African deserts, but also in all regions & wetter areas within salt swamps"
Scaly Tree Fern,-,-,Yes,Temperate to Tropical Rainforest,Asia,
Sedge,-,-,No,Cosmopolitan Wetlands,All Regions,
Sensitive Fern,-,-,No,Temperate Hardwood Forest,"Americas, Asia",
Sesame,Early Summer - Late Summer,-,Yes,Subtropical & Tropical Grassland & Savanna,"Africa, Asia",
Shaggy Bracket,-,-,-,Temperate Hardwood Forest,"Americas, Asia, Europe",Epiphytic (Fungus)
Shitake,-,-,-,Subtropical Forest,Asia,Fungus
Snake Sansevieria,-,-,Yes,Tropical Desert to Rainforest,"Africa, Asia",
Snake Sansevieria (Variegated),-,-,Yes,Tropical Desert to Rainforest,"Africa, Asia",
Sorbus,Early Summer - Summer,Early Autumn,No,Boreal & Temperate Forest & Forest Margin Highlands,"Africa, Asia, Europe",
Squirrel’s Foot Fern,-,-,Yes,Temperate to Tropical Wet Forest,Asia,Epiphytic
Staghorn Fern,-,-,Yes,Subtropical & Tropical Rainforest,"Africa, Asia",Epiphytic
Starfish Plant,Summer - Early Autumn,-,Yes,Temperate & Subtropical Desert,Africa,
Sumac,-,Summer - Late Winter,No,"Temperate Grassland, Savanna, Forest Margin, and Forest","Americas, Asia",
Sundew,-,-,Yes,Temperate Savanna Mountains & Swamps,"Americas, Africa",
Sunflower,Early Summer - Early Autumn,-,No,Temperate & Subtropical Savanna & Grassland,Americas,
Sword Fern,-,-,Yes,Boreal & Temperate Rainforest,America,
Sword Sansevieria,-,-,Yes,Tropical Desert Highlands,"Asia, Africa",
Thistle,Late Spring - Late Summer,-,No,Temperate Grassland & Savanna,"Americas, Asia",Spikey
Tillandsia Bromeliad,Early Summer - Late Summer,-,Yes,Tropical Rainforest,Americas,Epiphytic
Titan Arum,Late Spring,-,Yes,Tropical Rainforest,Asia,
Turkey Tail,-,-,-,Temperate Hardwood Forest,"Americas, Asia, Europe",Epiphytic (Fungus)
Venus Flytrap,-,-,Yes,Temperate Forest Wetland,Americas,
Victoria Lily pad,-,-,Yes,Tropical Rainforest Rivers,Americas,Aquatic
Voodoo Lily,Spring,-,Yes,Subtropical & Tropical Rainforest,Asia,
Water Hyacinth,Late Summer - Early Autumn,-,Yes,Subtropical & Tropical Wetlands & Rivers,Americas,Aquatic
Water Plantain,-,-,No,Cosmopolitan Wetlands & Rivers,All Regions,Aquatic
Welwitschia,Summer - Early Autumn (on Female),"Spring - Early Summer (Cones, on Female)",Yes,Subtropical & Tropical Extreme Desert (below 45 rainfall),Africa,Dioecious (has separate Male and Female plants)
Wood Bitter Vetch,Late Spring - Summer,-,No,Temperate & Subtropical Savanna & Forest Margin,Europe,
Wood Fern,-,-,No,Boreal & Temperate Hardwood Forest,Americas,
Yarrow,Early Summer - Early Autumn,-,No,Temperate Grassland & Savanna,"Americas, Asia, Europe",
Yucca,Spring - Early Summer,-,Yes,"Temperate to Tropical Desert, Grassland & Beaches",Americas,
Young Trees,-,-,Depends on Tree,Depends on Tree,Depends on Tree,"Each has the same spawn parameters and evergreen status as the normal TFC+ trees. Every TFC+ tree has a young variant except bamboo, mangrove, and joshua. Young Cedars can be trimmed (using shears) for a decorative texture, and then trimmed again for a narrow variant."
